gene	layer	outcome	instrument_rsid	n_instr	F	MR_beta	MR_p	q	coloc_PP_H4	PP_H4_over_H3	finemap_pip	tier	n_nonEGFR_causal_outcomes	included_in_determinant	determinant_panels_measured	in_PaperA_S2	mhc_region
NUDT5	Proteome	T2D	rs10508438	1	59.8	+0.7203	9.49e-06	1.06e-03	0.255	0.342	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	Y	False
OGA	Proteome	AF	rs3781299	1	269.3	+0.3019	1.38e-07	3.48e-05	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
OMP	Proteome	AF	rs2233546	1	497.6	-0.1287	8.77e-04	6.55e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
PCSK9	Proteome	CAD	rs11591147	1	1722.8	+0.2224	8.44e-06	1.13e-03	0.823	4.74	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
PDCD6	Proteome	T2D	rs9654451	1	17411.4	-0.0326	2.22e-05	1.81e-03	0.880	8.71	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
PDE5A	Proteome	CAD	rs58583086	1	409.5	-0.1923	1.65e-03	8.65e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
PEPD	Proteome	T2D	rs17569	1	2328.5	+0.0720	1.04e-03	4.06e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
PFKFB2	Proteome	AF	rs1560	1	644.2	-0.1460	3.93e-05	6.28e-03	0.884	15.7	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
PIK3IP1	Proteome	CKD	rs2413028	1	1508.3	-0.0866	8.84e-04	9.27e-02	0.147	0.199	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
PKLR	Proteome	AF	rs77350683	1	599.2	-0.1488	1.08e-04	1.59e-02	0.000	3.53e-72	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
PMVK	Proteome	AF	rs114951074	1	199.8	-0.3182	6.10e-07	1.34e-04	0.000	6.08e-35	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
PROCR	Proteome	CAD	rs867186	1	2790.7	-0.0832	3.09e-05	3.79e-03	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	2	Y	0/3	N	False
PROCR	Proteome	stroke	rs867186	1	2790.7	-0.0816	2.20e-05	5.17e-03	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	2	Y	0/3	N	False
RBP1	Proteome	T2D	rs2071387	1	187.7	+0.2100	2.35e-03	6.81e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	Y	False
RBPMS2	Proteome	CAD	rs28711906	1	106.2	-0.2905	1.89e-03	9.25e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
RET	Proteome	T2D	rs2744077	1	2328.2	+0.0696	1.49e-03	5.56e-02	0.215	0.461	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
RNF43	Proteome	stroke	rs34523089	1	176.1	-0.2539	1.08e-03	9.54e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
ROBO2	Proteome	T2D	rs775722	1	208.8	+0.2387	2.33e-03	6.81e-02	0.312	3.12	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
RTBDN	Proteome	T2D	rs7255045	1	412.3	-0.1646	1.74e-03	5.59e-02	0.172	0.3	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
SCAMP3	Proteome	AF	rs1142287	1	98.3	-0.2977	1.60e-03	9.71e-02	0.000	1.83e-17	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	2	Y	2/3	N	False
SCAMP3	Proteome	CKD	rs1142287	1	98.3	-0.4448	3.78e-05	9.07e-03	0.698	2.33	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	2	Y	2/3	N	False
SCARA5	Proteome	stroke	rs2726951	1	1809.4	-0.0789	7.89e-04	8.52e-02	0.471	4.12	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
SDCCAG8	Proteome	CKD	rs953492	1	749.2	-0.1603	1.51e-05	4.23e-03	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
SERPINE1	Proteome	T2D	rs2227674	1	161.3	-0.2675	1.67e-03	5.59e-02	0.100	0.13	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
SMPDL3A	Proteome	AF	rs28385609	1	9354.1	+0.0300	1.50e-03	9.55e-02	0.000	1.17e-13	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
SPON1	Proteome	AF	rs10832164	1	1662.0	+0.1077	2.30e-06	4.49e-04	0.879	7.47	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
SPRED2	Proteome	T2D	rs7569084	1	87.6	+0.3633	1.71e-03	5.59e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
SV2A	Proteome	T2D	rs68144650	1	442.0	+0.1618	1.02e-03	4.06e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
TFF1	Proteome	HF	rs3761376	1	1280.8	-0.0684	3.59e-04	5.00e-02	0.498	2.22	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	Y	False
TFPI	Proteome	stroke	rs7576066	1	1901.3	-0.0749	5.49e-04	7.02e-02	0.539	3.9	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
TGFB1	Proteome	CAD	rs73045269	1	851.9	+0.2635	5.09e-07	1.25e-04	0.984	62.9	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
THBS4	Proteome	CKD	rs2438632	1	1035.6	+0.1125	4.74e-04	6.63e-02	0.484	1.88	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
THOP1	Proteome	AF	rs2741990	1	1126.7	+0.1037	1.25e-04	1.69e-02	0.753	5.18	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
TIMP2	Proteome	CAD	rs8066695	1	151.0	+0.3326	1.74e-03	8.80e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
TMPRSS5	Proteome	stroke	rs7114195	1	10247.5	+0.0349	2.15e-04	3.79e-02	0.708	7.92	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
TNFRSF6B	Proteome	T2D	rs6062497	1	1557.4	-0.0905	8.95e-04	4.02e-02	0.584	12.1	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
TNFSF12	Proteome	AF	rs80067372	1	2049.0	-0.1095	6.62e-08	2.33e-05	0.844	5.41	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	Y	False
TOP2B	Proteome	CKD	rs3806631	1	106.6	+0.3547	6.37e-04	7.64e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
TRIM58	Proteome	CAD	rs11204523	1	646.3	-0.1550	1.62e-03	8.65e-02	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
TSPAN8	Proteome	T2D	rs11178654	1	4158.6	+0.0811	1.50e-06	2.24e-04	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
TYRO3	Proteome	T2D	rs8024626	1	6365.5	+0.0594	8.27e-06	1.06e-03	0.837	5.52	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
UMOD	Proteome	CKD	rs12922822	1	10753.4	+0.2220	4.70e-97	7.89e-94	0.986	71.9	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
VAMP5	Proteome	CAD	rs6547623	1	100.8	+0.6849	3.14e-06	4.62e-04	0.245	0.324	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	2/3	N	False
VAMP8	Proteome	CAD	rs3731828	1	422.0	-0.3223	3.57e-07	1.05e-04	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	1/3	N	False
WARS1	Proteome	stroke	rs2273804	1	907.9	+0.1137	3.88e-04	6.07e-02	0.669	13	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	3/3	N	False
YOD1	Proteome	AF	rs1044145	1	205.4	-0.2882	1.43e-05	2.52e-03	NA (not coloc-staged)	NA	NA	cis-MR BH-FDR q<0.10 & non-MHC (UKB-PPP/Olink pQTL); Wald-ratio lead cis variant	1	Y	0/3	N	False
